Participant Number,GroupNumber,WPM,Accuracy,ErrorRate,MouseTime,Clicks,Backspaces,Scrolls,TotalTime,CorrectChars,IncorrectFixed,IncorrectNotFixed,Keyboard,Task,TaskCode,Original Keyboard,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration Level,PreferenceMatch
29,5,33.7,81.8,18.2,0.0,0,69,0,110.405,310,69,0,KB2 (100%),Task B · Number Entry,B,60,7,2,9,7,9,4,0
28,4,26.9,88.5,11.5,0.0,0,35,0,120.0,269,35,0,KB2 (100%),Task B · Number Entry,B,100,5,2,3,6,5,2,1
33,2,28.9,91.2,8.8,0.0,0,28,0,120.0,290,28,0,KB2 (100%),Task B · Number Entry,B,60,6,6,7,2,5,2,0
32,1,37.8,84.6,15.4,0.0,0,56,0,97.675,308,56,0,KB2 (100%),Task B · Number Entry,B,60,3,1,4,7,4,4,0
2,2,40.2,89.2,10.8,-67.6,0,34,0,83.811,281,34,0,KB1 (60%),Task C · Programming,C,75,2,2,2,9,2,2,0
3,3,43.6,87.2,14.8,-57.6,0,49,0,77.343,281,49,0,KB1 (60%),Task C · Programming,C,100,2,8,4,7,9,4,0
4,4,55.4,93.1,7.4,-78.3,0,26,0,70.785,327,26,0,KB1 (60%),Task C · Programming,C,96,3,3,2,7,2,2,0
5,5,31.0,89.6,10.4,0.101,0,36,0,120.0,310,36,0,KB1 (60%),Task C · Programming,C,100,4,3,3,7,3,4,0
12,6,15.1,74.8,14.4,9.434,10,29,0,120.0,173,29,0,KB1 (60%),Task C · Programming,C,100,7,7,6,4,7,4,0
11,5,34.3,94.0,6.0,0.0,0,21,0,114.396,327,21,0,KB1 (60%),Task C · Programming,C,100,7,3,3,9,4,2,0
7,1,57.5,93.4,6.6,0.0,0,20,0,58.649,281,20,0,KB1 (60%),Task C · Programming,C,75,6,8,5,7,6,5,0
8,2,40.0,92.7,7.3,0.0,0,22,0,84.313,281,22,0,KB1 (60%),Task C · Programming,C,100,6,2,6,10,5,6,0
9,3,45.7,91.8,8.2,0.0,0,25,0,73.785,281,25,0,KB1 (60%),Task C · Programming,C,70,3,7,9,7,5,2,0
13,1,3.9,14.9,28.4,2.038,2,72,0,120.0,187,72,2,KB1 (60%),Task C · Programming,C,100,5,8,9,5,7,8,0
15,3,40.4,85.7,14.3,0.0,0,47,0,83.375,281,47,0,KB1 (60%),Task C · Programming,C,Both,3,6,1,5,4,2,1
16,4,30.0,86.2,13.8,0.0,0,48,0,120.0,300,48,0,KB1 (60%),Task C · Programming,C,65,4,4,3,5,3,2,0
17,5,38.5,94.2,5.8,0.0,0,20,0,102.015,327,20,0,KB1 (60%),Task C · Programming,C,60,5,4,4,8,5,3,1
18,6,43.1,90.6,9.4,0.0,0,34,0,91.064,327,34,0,KB1 (60%),Task C · Programming,C,100,4,7,6,10,7,4,0
19,1,25.1,93.0,7.0,0.0,0,19,0,120.0,251,19,0,KB1 (60%),Task C · Programming,C,Laptop,3,4,3,6,4,5,0
20,2,27.9,88.3,11.7,0.0,0,37,0,120.0,279,37,0,KB1 (60%),Task C · Programming,C,Laptop,6,6,5,7,6,5,0
1,1,59.3,93.0,7.0,0.0,0,21,0,56.839,281,21,0,KB1 (60%),Task C · Programming,C,TKL,4,4,2,8,4,2,0
10,4,33.1,93.4,5.8,10.888,9,20,0,117.385,327,20,0,KB1 (60%),Task C · Programming,C,60,5,4,5,5,5,5,1
14,2,49.4,85.4,12.5,0.0,0,40,0,66.586,281,40,0,KB1 (60%),Task C · Programming,C,60,3,4,2,7,6,1,1
21,3,20.2,84.9,15.1,0.0,0,35,0,120.0,202,35,1,KB1 (60%),Task C · Programming,C,75,3,3,3,5,3,3,0
22,4,38.4,88.4,11.6,0.0,0,43,0,102.215,327,43,0,KB1 (60%),Task C · Programming,C,75,2,2,2,4,2,2,0
23,5,51.3,97.6,2.4,0.0,0,8,0,76.424,327,8,0,KB1 (60%),Task C · Programming,C,60,2,2,3,10,2,1,1
6,6,27.8,86.6,13.4,0.0,0,43,0,120.0,277,43,0,KB1 (60%),Task C · Programming,C,100,3,6,2,10,4,2,0
24,6,42.9,89.6,10.4,0.0,0,38,0,91.384,327,38,0,KB1 (60%),Task C · Programming,C,60,6,4,4,6,3,5,1
25,1,40.2,91.2,8.8,0.0,0,27,0,83.94,281,27,0,KB1 (60%),Task C · Programming,C,Laptop,7,8,6,9,6,5,0
26,2,28.7,94.9,5.1,0.0,0,15,0,117.664,281,15,0,KB1 (60%),Task C · Programming,C,Laptop,5,5,6,8,6,1,0
27,3,57.4,90.9,8.5,0.0,0,26,0,58.377,281,26,0,KB1 (60%),Task C · Programming,C,100,4,1,1,2,1,2,0
29,5,58.4,90.8,9.2,0.0,0,33,0,67.193,327,33,0,KB1 (60%),Task C · Programming,C,60,6,2,6,9,9,2,1
28,4,36.2,91.9,8.1,0.0,0,29,0,108.374,327,29,0,KB1 (60%),Task C · Programming,C,100,3,1,3,9,4,1,0
33,2,30.4,93.4,6.6,0.0,0,20,0,110.919,281,20,0,KB1 (60%),Task C · Programming,C,60,6,4,6,5,5,4,1
32,1,42.6,88.6,11.4,0.0,0,36,0,79.216,281,36,0,KB1 (60%),Task C · Programming,C,60,2,1,2,9,1,1,1
2,2,34.7,83.5,16.8,2.184,1,66,4,113.118,327,66,0,KB2 (100%),Task C · Programming,C,75,2,2,2,7,2,4,0
3,3,60.5,85.4,14.2,0.0,0,54,0,64.878,327,54,0,KB2 (100%),Task C · Programming,C,100,3,2,2,9,1,2,1
4,4,49.7,94.3,6.0,0.0,0,18,0,67.785,281,18,0,KB2 (100%),Task C · Programming,C,96,3,2,3,7,2,2,0
5,5,32.9,90.9,9.1,0.0,0,28,0,102.489,281,28,0,KB2 (100%),Task C · Programming,C,100,1,1,2,9,3,1,1
12,6,16.2,66.9,12.0,0.0,0,29,0,120.0,213,29,0,KB2 (100%),Task C · Programming,C,100,3,3,5,8,4,2,1
11,5,15.4,56.4,10.6,0.0,0,26,0,120.0,244,26,3,KB2 (100%),Task C · Programming,C,100,6,3,6,3,3,2,1
7,1,59.2,89.3,10.7,0.0,0,39,0,66.3,327,39,0,KB2 (100%),Task C · Programming,C,75,4,4,4,9,5,2,0
8,2,40.9,89.7,9.2,0.0,0,33,0,94.726,327,33,0,KB2 (100%),Task C · Programming,C,100,4,2,2,10,3,2,1
9,3,43.0,89.1,10.9,0.0,0,40,0,91.309,327,40,0,KB2 (100%),Task C · Programming,C,70,7,5,4,7,4,3,0
13,1,34.9,85.4,14.6,0.0,0,56,0,112.535,327,56,0,KB2 (100%),Task C · Programming,C,100,4,5,6,9,6,4,1
15,3,39.7,84.5,15.5,0.0,0,60,0,98.84,327,60,0,KB2 (100%),Task C · Programming,C,Both,6,5,2,4,5,2,1
16,4,27.7,87.1,12.9,0.0,0,40,0,120.0,277,40,1,KB2 (100%),Task C · Programming,C,65,2,3,3,4,3,3,0
17,5,31.2,89.2,10.8,0.0,0,34,0,108.156,281,34,0,KB2 (100%),Task C · Programming,C,60,4,3,3,9,5,4,0
18,6,40.9,86.2,13.8,0.0,0,45,0,82.53,281,45,0,KB2 (100%),Task C · Programming,C,100,4,7,8,10,4,3,1
19,1,26.0,88.1,11.8,0.0,0,33,0,120.0,262,33,2,KB2 (100%),Task C · Programming,C,Laptop,6,5,4,5,6,6,0
20,2,28.2,83.9,16.1,0.0,0,51,0,120.0,282,51,3,KB2 (100%),Task C · Programming,C,Laptop,7,6,8,6,7,8,0
1,1,61.9,87.0,13.0,0.0,0,49,0,63.357,327,49,0,KB2 (100%),Task C · Programming,C,TKL,2,2,2,8,2,1,0
10,4,32.3,95.9,3.4,0.0,0,10,0,103.653,281,10,0,KB2 (100%),Task C · Programming,C,60,5,4,5,5,5,7,0
14,2,50.6,86.4,11.4,0.0,0,42,0,75.65,327,42,0,KB2 (100%),Task C · Programming,C,60,4,4,2,6,2,1,0
21,3,26.1,91.3,8.7,0.0,0,25,0,120.0,261,25,0,KB2 (100%),Task C · Programming,C,75,3,3,4,4,3,3,0
22,4,40.5,92.4,7.3,0.0,0,22,0,82.893,281,22,0,KB2 (100%),Task C · Programming,C,75,2,2,1,5,2,1,0
23,5,45.6,96.6,3.4,0.0,0,10,0,74.014,281,10,0,KB2 (100%),Task C · Programming,C,60,1,2,1,10,1,1,0
6,6,23.8,76.0,22.4,0.0,0,70,0,120.0,243,70,0,KB2 (100%),Task C · Programming,C,100,3,6,2,10,4,2,1
24,6,32.0,84.1,15.6,9.251,11,52,0,104.878,281,52,0,KB2 (100%),Task C · Programming,C,60,5,7,6,6,4,6,0
25,1,32.4,82.2,17.5,0.0,2,67,0,120.0,325,67,2,KB2 (100%),Task C · Programming,C,Laptop,8,9,8,8,8,8,0
26,2,23.9,90.9,9.1,0.0,0,24,0,120.0,239,24,0,KB2 (100%),Task C · Programming,C,Laptop,6,7,5,3,6,4,0
27,3,54.3,85.8,13.7,2.127,2,52,0,71.828,327,52,0,KB2 (100%),Task C · Programming,C,100,1,1,1,9,1,1,1
29,5,43.1,84.2,15.9,0.0,0,53,0,78.481,281,53,0,KB2 (100%),Task C · Programming,C,60,7,2,6,8,9,3,0
28,4,30.9,91.5,8.5,0.0,0,26,0,108.975,281,26,0,KB2 (100%),Task C · Programming,C,100,3,1,3,9,5,1,1
33,2,32.1,95.5,4.2,1.25,0,14,0,120.0,322,14,0,KB2 (100%),Task C · Programming,C,60,4,5,3,5,4,2,0
32,1,49.3,90.1,9.7,0.0,0,35,0,79.323,327,35,0,KB2 (100%),Task C · Programming,C,60,2,1,2,8,2,9,0
